u.nom_usuario;m.tit_musica;r.nota_avaliacao;r.data_avaliacao
[Adriana Cunha];[Big Ten Inch Record];8;2020-11-30
[Adriana Cunha];[Bigger Stronger];5;2021-05-05
[Adriana Cunha];[Bijou];9;2022-02-09
[Adriana Cunha];[Bike];9;2025-05-31
[Adriana Cunha];[Billie Jean];5;2021-02-04
[Adriana Cunha];[Bionic];5;2023-02-25
[Adriana Cunha];[Birds of Prey];7;2021-05-06
[Adriana Cunha];[Birthday];7;2021-08-17
[Adriana Cunha];[Bishop's Robes];5;2021-08-26
[Adriana Cunha];[Black];9;2025-01-17
[Adriana Cunha];[Black];7;2022-04-04
[Adriana Cunha];[Black Beauty];5;2025-01-21
[Adriana Cunha];[Black Crow Blues];6;2024-06-21
[Adriana Cunha];[Black Diamond];5;2023-01-29
[Adriana Cunha];[Black Ice];5;2025-07-28
[Adriana Cunha];[Black Magic Woman];9;2024-10-09
[Adriana Cunha];[Black Mountain Side];5;2025-02-10
[Adriana Cunha];[Black Rain];5;2021-03-07
[Adriana Cunha];[Black Star];9;2025-04-23
[Adriana Cunha];[Black or White];5;2025-03-25
[Adriana Cunha];[Blackened];5;2023-08-09
[Adriana Cunha];[Blackman Redemption];7;2021-06-10
[Adriana Cunha];[Bleeding Me];9;2021-07-15
[Adriana Cunha];[Blitzkrieg Bop];10;2023-05-02
[Adriana Cunha];[Bloodpact];8;2025-04-17
[Adriana Cunha];[Bloody Mary];8;2023-02-16
[Adriana Cunha];[Blowin' in the Wind];5;2025-10-30
[Adriana Cunha];[Blue Hawaii];5;2021-06-15
[Adriana Cunha];[Blue Jean];10;2022-11-09
[Adriana Cunha];[Blue Jeans];5;2023-06-12
[Adriana Cunha];[Blue Suede Shoes];5;2021-04-13
[Adriana Cunha];[Blue Velvet];5;2024-08-15
[Adriana Cunha];[Blueberry Hill];5;2024-07-04
[Adriana Cunha];[Blues Before Sunrise];5;2024-08-05
[Adriana Cunha];[Blues Power];7;2021-03-03
[Adriana Cunha];[Boadicea];5;2021-12-19
[Adriana Cunha];[Bob Dylan's Dream];5;2025-04-18
[Adriana Cunha];[Body Count];5;2023-04-24
[Adriana Cunha];[Bodysnatchers];5;2022-05-25
[Adriana Cunha];[Bohemian Rhapsody];5;2021-01-07
[Adriana Cunha];[Bomber];5;2025-06-14
[Adriana Cunha];[Borderline];5;2025-11-18
[Adriana Cunha];[Born This Way];5;2025-12-24
[Adriana Cunha];[Born To Be My Baby];8;2020-12-31
[Adriana Cunha];[Born Under a Bad Sign];5;2023-06-06
[Adriana Cunha];[Born to Die];10;2023-05-15
[Adriana Cunha];[Boys Boys Boys];7;2020-11-23
[Adriana Cunha];[Brain Damage];7;2021-05-21
[Adriana Cunha];[Brave New World];10;2023-09-13
[Adriana Cunha];[Break It Down Again];9;2024-08-27
[Adriana Cunha];[Break My Heart];5;2022-11-28
[Adriana Cunha];[Breakdown];5;2020-08-03
[Adriana Cunha];[Breakin' All the Rules];5;2023-06-21
[Adriana Cunha];[Breakthru];7;2022-09-07
[Adriana Cunha];[Breed];10;2025-08-13
[Adriana Cunha];[Bring It on Home];7;2021-11-12
[Adriana Cunha];[Bring Me Down];5;2021-08-23
[Adriana Cunha];[Bring Me The Disco King];10;2021-12-28
[Adriana Cunha];[Broadway Melody of 1974];5;2024-09-06
[Adriana Cunha];[Broken];5;2025-11-24
[Adriana Cunha];[Broken Strings];5;2023-09-19
[Adriana Cunha];[Broken-Hearted Girl];5;2024-01-25
[Adriana Cunha];[Brothers in Arms];7;2024-04-20
[Adriana Cunha];[Brown Eyes];7;2021-04-07
[Adriana Cunha];[Bubble Toes];7;2022-01-20
[Adriana Cunha];[Buckets of Rain];5;2024-02-21
[Adriana Cunha];[Bugs];8;2022-10-02
[Adriana Cunha];[Bullet the Blue Sky];9;2025-11-05
[Adriana Cunha];[Buried Alive in the Blues];5;2022-01-14
[Adriana Cunha];[Burner];5;2021-12-26
[Adriana Cunha];[Burning Bridges];5;2023-06-07
[Adriana Cunha];[Burning Desire];9;2024-02-13
[Adriana Cunha];[Burning Up];5;2023-01-28
[Adriana Cunha];[Butterflyz];10;2023-08-25
[Adriana Cunha];[By the Way];5;2021-11-04
[Adriana Cunha];[Bye];5;2025-12-27
[Adriana Cunha];[Bye Bye];10;2025-04-25
[Adriana Cunha];[C'mon And Love Me];8;2021-06-29
[Adriana Cunha];[Cabaret];10;2021-08-05
[Adriana Cunha];[California Sun];9;2024-03-01
[Adriana Cunha];[Calling All Angels];10;2025-12-18
[Adriana Cunha];[Calling All Girls];5;2023-06-21
[Adriana Cunha];[Calling All Stations];5;2021-06-26
[Adriana Cunha];[Calling Dr. Love];10;2026-01-16
[Adriana Cunha];[Can't Find My Way];9;2024-11-28
[Adriana Cunha];[Can't Get There from Here];5;2020-08-20
[Adriana Cunha];[Can't Help Falling in Love];10;2023-08-20
[Adriana Cunha];[Can't Stop];5;2023-12-10
[Adriana Cunha];[Can't Stop Loving You];5;2023-09-24
[Adriana Cunha];[Can't Turn Back The Years];9;2020-11-06
[Adriana Cunha];[Can't Wait];5;2025-06-20
[Adriana Cunha];[Can't We Be Friends?];9;2021-02-21
[Adriana Cunha];[Candy Shop];5;2025-08-29
[Adriana Cunha];[Candyman];6;2022-06-18
[Adriana Cunha];[Capim];5;2023-08-29
[Adriana Cunha];[Careful Where You Stand];6;2021-04-11
[Adriana Cunha];[Caribbean Blue];9;2022-12-20
[Adriana Cunha];[Carnaval];9;2025-04-05
[Adriana Cunha];[Carpe Diem Baby];9;2024-02-21
[Adriana Cunha];[Cat People];10;2021-10-05
[Adriana Cunha];[Cat People (Putting Out Fire)];6;2025-11-24
[Adriana Cunha];[Catapult];5;2021-04-19
[Adriana Cunha];[Catch Me];8;2025-09-03
[Adriana Cunha];[Cedars of Lebanon];5;2025-11-11
[Adriana Cunha];[Celebration];10;2022-01-21
[Adriana Cunha];[Celice];5;2023-08-25
[Adriana Cunha];[Chain Reaction];5;2026-01-02
[Adriana Cunha];[Champion];6;2023-05-08
[Adriana Cunha];[Chant Down Babylon];5;2024-08-25
[Adriana Cunha];[Chapter 24];8;2023-06-19
[Adriana Cunha];[Charlie];5;2023-02-21
[Adriana Cunha];[Chase the Ace];7;2025-10-26
[Adriana Cunha];[Chega De Saudade];5;2022-03-27
[Adriana Cunha];[Chega de Saudade];10;2025-01-05
[Adriana Cunha];[Cherish];7;2024-09-03
[Adriana Cunha];[Childhood's End];5;2023-03-17
[Adriana Cunha];[China Girl];5;2021-09-21
[Adriana Cunha];[China Roses];5;2023-02-06
[Adriana Cunha];[Choose Your Battles];6;2023-11-20
[Adriana Cunha];[Christine Sixteen];5;2022-12-09
[Adriana Cunha];[Christmas Lights];9;2024-10-28
[Adriana Cunha];[Christmas Secrets];10;2023-07-25
[Adriana Cunha];[City Kids];6;2023-09-03
[Adriana Cunha];[Civil War];5;2022-10-03
[Adriana Cunha];[Climbing Up the Walls];9;2025-10-14
[Adriana Cunha];[Clique];6;2025-06-06
[Adriana Cunha];[Clocks];7;2023-07-18
[Adriana Cunha];[Close To You];6;2023-11-20
[Adriana Cunha];[Cloudburst];8;2020-11-23
[Adriana Cunha];[Cocaine];7;2025-08-24
[Adriana Cunha];[Codex];5;2025-12-21
[Adriana Cunha];[Coffee Shop];9;2021-06-10
[Adriana Cunha];[Coke Babies];5;2023-05-03
[Adriana Cunha];[Cold Gin];5;2020-10-10
[Adriana Cunha];[Cold Shoulder];5;2025-12-30
[Adriana Cunha];[Coldest Winter];10;2024-01-22
[Adriana Cunha];[Combination];5;2023-10-06
[Adriana Cunha];[Come Back];8;2025-12-12
[Adriana Cunha];[Come Fly With Me];5;2021-01-20
[Adriana Cunha];[Come Rain Or Come Shine];8;2024-02-26
[Adriana Cunha];[Come Rain or Come Shine];7;2021-08-23
[Adriana Cunha];[Come To Mama];5;2023-07-21
[Adriana Cunha];[Come as You Are];7;2025-11-13
[Adriana Cunha];[Commando];7;2025-05-18
[Adriana Cunha];[Communication Breakdown];5;2024-07-25
[Adriana Cunha];[Como Estais Amigos];6;2025-04-02
[Adriana Cunha];[Complicated];9;2023-02-18
[Adriana Cunha];[Confident];7;2021-03-29
[Adriana Cunha];[Congo];5;2025-03-16
[Adriana Cunha];[Cool Cat];10;2023-10-18
[Adriana Cunha];[Cool Yule];5;2022-06-13
[Adriana Cunha];[Corduroy];5;2024-04-10
[Adriana Cunha];[Corner Stone];5;2023-01-22
[Adriana Cunha];[Country Pie];5;2022-05-31
[Adriana Cunha];[Crack Music];8;2023-03-31
[Adriana Cunha];[Crash Course in Brain Surgery];8;2023-12-26
[Adriana Cunha];[Crazy Babies];5;2025-10-06
[Adriana Cunha];[Crazy Baldhead];5;2022-10-10
[Adriana Cunha];[Crazy Little Thing Called Love];5;2025-07-10
[Adriana Cunha];[Crazy Mary];9;2025-07-12
[Adriana Cunha];[Crazy Train];5;2023-01-12
[Adriana Cunha];[Creep];5;2024-05-21
[Adriana Cunha];[Crests Of Waves];5;2023-01-25
[Adriana Cunha];[Cretin Hop];9;2024-11-28
[Adriana Cunha];[Cruiser];6;2023-01-11
[Adriana Cunha];[Cruz];5;2023-06-24
[Adriana Cunha];[Cry Me a River];5;2023-01-15
[Adriana Cunha];[Cryin'];5;2021-09-30
[Adriana Cunha];[Crying Blue Rain];5;2024-08-15
[Adriana Cunha];[Crying Shame];10;2021-04-09
[Adriana Cunha];[Crying in the Rain];9;2026-01-12
[Adriana Cunha];[Cupid];6;2024-08-24
[Adriana Cunha];[Cure];5;2023-01-07
[Adriana Cunha];[Custard Pie];5;2025-12-16
[Adriana Cunha];[Cuttooth];7;2020-08-22
[Adriana Cunha];[Cyanide];10;2023-05-29
[Adriana Cunha];[D j  Vu];5;2025-07-08
[Adriana Cunha];[DJ Culture];6;2025-05-06
[Adriana Cunha];[Da Ya Think I'm Sexy?];7;2025-02-21
[Adriana Cunha];[Damned];5;2022-08-24
[Adriana Cunha];[Dance];5;2023-09-17
[Adriana Cunha];[Dance Into The Light];5;2025-04-24
[Adriana Cunha];[Dancing Queen];5;2022-11-21
[Adriana Cunha];[Dancing on the Ceiling];5;2024-11-06
[Adriana Cunha];[Danger];5;2024-09-16
[Adriana Cunha];[Dani California];5;2020-10-21
[Adriana Cunha];[Darlene];5;2024-03-18
[Adriana Cunha];[Darlin];8;2022-04-25
[Adriana Cunha];[Daughter];10;2022-10-18
[Adriana Cunha];[Daydreamer];9;2023-06-16
[Adriana Cunha];[Daylight];6;2025-07-29
[Adriana Cunha];[Deaf Forever];5;2022-03-06
[Adriana Cunha];[Dear Friends];5;2025-04-30
[Adriana Cunha];[Dear Landlord];8;2022-06-07
[Adriana Cunha];[Dee];5;2023-02-18
[Adriana Cunha];[Deireadh An Tuath];10;2022-09-02
[Adriana Cunha];[Deja-Vu];6;2022-12-13
[Adriana Cunha];[Deora Ar Mo Chro ];5;2022-03-10
[Adriana Cunha];[Desnudate];5;2025-04-01
[Adriana Cunha];[Deuce];5;2020-10-17
[Adriana Cunha];[Deuces Are Wild];8;2021-06-16
[Adriana Cunha];[Devil in Disguise];5;2023-09-12
[Adriana Cunha];[Diary];5;2025-02-04
[Adriana Cunha];[Did You See Me Coming?];5;2025-12-17
[Adriana Cunha];[Didn't We Almost Have It All];5;2022-07-12
[Adriana Cunha];[Die Another Day];5;2025-05-08
[Adriana Cunha];[Different World];6;2025-05-11
[Adriana Cunha];[Dirt Road Blues];10;2020-12-23
[Adriana Cunha];[Dirty Frank];6;2021-03-15
[Adriana Cunha];[Dirty Window];8;2025-10-27
[Adriana Cunha];[Disappear];9;2020-12-23
[Adriana Cunha];[Disco Heaven];8;2022-11-22
[Adriana Cunha];[Disco Inferno];9;2021-10-06
[Adriana Cunha];[Discotheque];5;2020-09-26
[Adriana Cunha];[Dissident];5;2023-10-05
[Adriana Cunha];[Disturbed];7;2022-07-11
[Adriana Cunha];[Dive];10;2020-10-13
[Adriana Cunha];[Do You Hear What I Hear?];8;2022-02-12
[Adriana Cunha];[Do You Remember];8;2025-02-09
[Adriana Cunha];[Dog Eat Dog];9;2024-09-01
[Adriana Cunha];[Dogs];10;2020-08-10
[Adriana Cunha];[Dollars & Cents];5;2021-01-16
[Adriana Cunha];[Don't Be Cruel];5;2022-12-14
[Adriana Cunha];[Don't Come Close];7;2022-05-04
[Adriana Cunha];[Don't Cry (original)];5;2023-06-12
[Adriana Cunha];[Don't Cry Daddy];5;2022-06-01
[Adriana Cunha];[Don't Cry For Me Argentina];5;2023-10-15
[Adriana Cunha];[Don't Damn Me];5;2023-10-25
[Adriana Cunha];[Don't Fake This];5;2025-06-19
[Adriana Cunha];[Don't Forget To Remember];5;2024-05-31
[Adriana Cunha];[Don't Go Away];5;2022-07-18
[Adriana Cunha];[Don't Let Him Steal Your Heart Away];5;2020-12-11
[Adriana Cunha];[Don't Let Me Be Lonely Tonight];5;2022-03-03
[Adriana Cunha];[Don't Lose My Number];5;2021-06-06
[Adriana Cunha];[Don't Panic];10;2024-07-06
[Adriana Cunha];[Don't Stop 'Til You Get Enough];5;2021-05-15
[Adriana Cunha];[Don't Stop the Music];9;2022-07-03
[Adriana Cunha];[Don't Tell Me];5;2022-12-13
[Adriana Cunha];[Don't Tread on Me];6;2024-02-17
[Adriana Cunha];[Don't Try Suicide];7;2022-11-27
[Adriana Cunha];[Don't You Remember];7;2025-05-13
[Adriana Cunha];[Double Talkin' Jive];5;2022-05-26
[Adriana Cunha];[Down by the Seaside];5;2024-02-22
[Adriana Cunha];[Downer];10;2021-06-14
[Adriana Cunha];[Drain You];9;2025-12-27
[Adriana Cunha];[Draw the Line];5;2025-07-03
[Adriana Cunha];[Dreamlover];5;2021-09-03
[Adriana Cunha];[Dreams Be Dreams];5;2025-05-07
[Adriana Cunha];[Dress You Up];5;2023-03-25
[Adriana Cunha];[Drifting];5;2021-04-20
[Adriana Cunha];[Drink The Water];5;2020-09-01
[Adriana Cunha];[Drink You Away];5;2022-11-23
[Adriana Cunha];[Drinking Again];7;2022-03-03
[Adriana Cunha];[Duppy Conqueror];8;2021-10-19
[Adriana Cunha];[Dusk];9;2023-07-29
[Adriana Cunha];[Dyers Eve];8;2020-08-06
[Adriana Cunha];[Eagle];5;2020-09-06
[Adriana Cunha];[Early Morning];8;2022-10-28
[Adriana Cunha];[Earth Blues];9;2024-06-12
[Adriana Cunha];[Easy Lover];5;2021-10-24
[Adriana Cunha];[Eat the Rich];8;2025-01-20
[Adriana Cunha];[Ebb Tide];5;2025-09-04
[Adriana Cunha];[Ebb and Flow];9;2025-11-26
[Adriana Cunha];[Ebudae];5;2025-09-27
[Adriana Cunha];[El Dorado];8;2025-04-17
[Adriana Cunha];[Elderly Woman Behind the Counter in a Small Town];6;2025-05-09
[Adriana Cunha];[Electioneering];10;2024-04-16
[Adriana Cunha];[Electric Church Red House];9;2022-04-06
[Adriana Cunha];[Electrolite];5;2022-06-22
[Adriana Cunha];[Emotions];5;2024-09-13
[Adriana Cunha];[Empire Building];5;2023-09-30
[Adriana Cunha];[End Begins];9;2023-10-19
[Adriana Cunha];[Endgame];5;2020-10-29
[Adriana Cunha];[Enough To Be On Your Way];5;2022-03-08
[Adriana Cunha];[Enter the Circus];5;2023-06-01
[Adriana Cunha];[Envy];6;2021-05-05
[Adriana Cunha];[Erotica];8;2023-11-06
[Adriana Cunha];[Ethiopia];6;2024-02-26
[Adriana Cunha];[Europa];10;2023-02-02
[Adriana Cunha];[Evacuation];5;2023-01-27
[Adriana Cunha];[Evacuee];5;2024-06-15
[Adriana Cunha];[Even Flow];9;2020-08-14
[Adriana Cunha];[Evening Falls];5;2023-12-10
[Adriana Cunha];[Every Picture Tells A Story];6;2025-08-03
[Adriana Cunha];[Everybody Hurts];9;2023-12-25
[Adriana Cunha];[Everybody Wants to Rule the World];9;2023-11-02
[Adriana Cunha];[Everybody's Changing];6;2022-10-18
[Adriana Cunha];[Everything I Am];8;2023-05-21
[Adriana Cunha];[Everything Is Under Control];8;2022-01-25
[Adriana Cunha];[Everything You're Not];8;2022-03-10
[Adriana Cunha];[Evil Ways];8;2025-03-20
[Adriana Cunha];[Exit];10;2023-08-16
[Adriana Cunha];[Expo];5;2024-05-30
[Adriana Cunha];[Express Yourself];5;2020-10-25
[Adriana Cunha];[Face In The Sand];8;2022-12-29
[Adriana Cunha];[Facing Hell];7;2024-05-07
[Adriana Cunha];[Fade To Black (Remastered)];6;2021-05-24
[Adriana Cunha];[Fade to Black];7;2022-04-24
[Adriana Cunha];[Fading];7;2024-03-25
[Adriana Cunha];[Fake Plastic Trees];5;2023-07-09
[Adriana Cunha];[Fall Line];7;2022-10-21
[Adriana Cunha];[Fall on Me];9;2024-09-15
[Adriana Cunha];[Fallen Embers];6;2023-11-14
[Adriana Cunha];[Fallin'];10;2021-05-26
[Adriana Cunha];[Falling Fast];5;2021-09-24
[Adriana Cunha];[Falling Into You];9;2020-12-01
[Adriana Cunha];[Falling Over Me];5;2021-12-30
[Adriana Cunha];[Family Business];5;2021-12-05
[Adriana Cunha];[Family System];5;2020-12-15
[Adriana Cunha];[Fashion];5;2025-11-04
[Adriana Cunha];[Fast and Loose];9;2025-11-23
[Adriana Cunha];[Fast-Track];5;2021-10-07
[Adriana Cunha];[Fatal];7;2024-01-09
[Adriana Cunha];[Father];5;2025-08-26
[Adriana Cunha];[Faust Arp];5;2024-03-25
[Adriana Cunha];[Feedback];9;2022-05-04
[Adriana Cunha];[Feral];8;2024-05-27
[Adriana Cunha];[Fields Of Joy];8;2025-08-17
[Adriana Cunha];[Fight Fire With Fire];5;2022-05-12
[Adriana Cunha];[Fighter];5;2022-04-19
[Adriana Cunha];[Fingerprints];5;2025-12-06
[Adriana Cunha];[Firehouse];5;2021-03-25
[Adriana Cunha];[First Love];5;2024-11-01
[Adriana Cunha];[First of May];5;2024-01-20
[Adriana Cunha];[Fix You];5;2022-08-04
[Adriana Cunha];[Flake];5;2021-03-07
[Adriana Cunha];[Flames];9;2025-11-05
[Adriana Cunha];[Flaming];5;2022-03-04
[Adriana Cunha];[Flash];9;2025-11-09
[Adriana Cunha];[Flash's Theme];6;2024-01-21
[Adriana Cunha];[Flashing Lights];8;2023-01-15
[Adriana Cunha];[Flaws And All];9;2024-10-01
[Adriana Cunha];[Flora's Secret];10;2022-03-26
[Adriana Cunha];[Floyd the Barber];5;2022-01-28
[Adriana Cunha];[Fly Away];7;2022-01-05
[Adriana Cunha];[Flying High Again];9;2023-05-30
[Adriana Cunha];[Follow Me Home];6;2023-01-29
[Adriana Cunha];[For Love];5;2023-08-10
[Adriana Cunha];[For Whom the Bell Tolls];5;2023-08-20
[Adriana Cunha];[For the Record];6;2023-11-13
[Adriana Cunha];[Forever Loving Jah];5;2022-12-27
[Adriana Cunha];[Forever Man];6;2025-02-24
[Adriana Cunha];[Forever Young];5;2022-11-13
[Adriana Cunha];[Forfeit];10;2021-07-06
[Adriana Cunha];[Formation];5;2021-02-13
[Adriana Cunha];[Fortunate Fool];5;2021-06-05
[Adriana Cunha];[Foxy Lady];5;2021-03-04
[Adriana Cunha];[Frantic];6;2025-09-06
